_id,Type,Impact,Tourism Receipts,Visitor Spending
1,Dollar Figure,,34078342472,26870080803
2,Dollar Figure,Total,32745553876,25196416309
3,Jobs Total,Total,390540,309584
4,Dollar Figure,Total,19900804129,14929416770
5,Dollar Figure,Total,11891677674,9544482954
6,Dollar Figure,Total,5103970404,4222491815
7,Dollar Figure,Total,1293061515,1042560491
8,Dollar Figure,Total,5494645755,4279430648
9,Dollar Figure,Direct,17456282820,13732836680
10,Jobs Total,Direct,251802,205777
11,Dollar Figure,Direct,10245312188,7696179700
12,Dollar Figure,Direct,6698832003,5645744669
13,Dollar Figure,Direct,3283131950,2856604580
14,Dollar Figure,Direct,444895813,400861592
15,Dollar Figure,Direct,2970804241,2388278497
